(,40297
),40093
.,37060
",",32389
"""",30984
:,16418
[,13266
],13258
=,11899
},10950
{,10917
*,9395
val,5988
=>,5788
def,4631
String,4148
a,3410
A,3209
the,3095
case,2841
*/,2755
new,2644
~,2638
in,2595
->,2433
_,2275
/**,2249
must,1818
to,1691
+,1604
implicit,1504
value,1473
map,1280
Seq,1261
if,1211
++,1148
@param,1130
key,1111
1,1087
<,1083
B,1010
result,972
for,970
of,951
get,942
T,933
e,917
Mapping,906
A1,859
Int,854
with,853
name,849
Option,847
request,839
E,836
data,834
must_==,833
this,826
be,826
Json,822
is,818
Some,817
Iteratee,813
A2,798
c,769
extends,766
A3,764
Map,753
s,751
apply,727
A4,725
class,706
_1,691
A5,686
as,680
and,678
object,672
_2,668
play,664
A6,647
0,636
f,632
path,627
The,608
A7,608
b,603
None,596
error,596
Array,587
M,586
a1,584
p,580
a2,571
A8,569
an,561
body,555
i,554
2,553
obj,551
withPrefix,542
Future,539
C,535
\,531
A9,530
a3,529
List,527
java,514
Input,511
from,510
that,508
SQL,508
/*,505
should,501
match,500
asInstanceOf,496
a4,495
A10,491
getOrElse,490
private,490
values,488
true,487
import,486
classOf,468
a5,468
bind,461
else,458
A11,452
on,445
a6,441
Boolean,440
configuration,439
not,433
<-,433
Byte,428
null,423
it,415
a7,414
A12,413
equalTo,412
R,409
3,409
k,404
response,401
Typesafe,394
<http,393
Inc,392
Copyright,392
foo,391
file,390
aka,388
json,388
a8,387
false,381
unbind,377
A13,374
Column,369
message,365
header,365
a9,360
Enumerator,354
api,353
fu,345
empty,341
A14,335
override,334
a10,333
headers,327
id,327
Nil,324
Reads,324
|,318
2009-2013,317
input,315
a11,306
r,306
t,306
url,304
ec,303
app,300
state,300
JsValue,299
type,298
trait,298
application,297
A15,296
parse,295
mappings,294
Result,292
by,290
SELECT,289
@return,289
append,288
single,288
==,287
set,287
unbindAndValidate,286
Unit,285
default,284
a12,279
Done,277
v,270
x,268
Long,268
flatMap,259
config,258
lazy,257
A16,257
throw,257
iteratee,256
Play,254
Right,254
reducer,253
5,253
logger,253
a13,252
F,250
File,248
method,248
function,248
Cont,247
Ok,247
toString,245
scala,244
util,243
http,243
req,243
Promise,240
Param,237
text,237
or,233
test,232
beSome,231
call,231
format,229
when,229
str,228
Left,227
execute,227
parsed,227
will,226
a14,225
Action,225
status,224
fold,222
length,219
A17,218
Enumeratee,218
errors,217
unapply,216
JsPath,215
/,211
flatten,211
form,211
ExecutionContext,210
right;,210
bar,206
__,205
given,205
block,203
msg,203
field,201
RequestHeader,200
size,199
action,198
a15,198
builder,197
port,197
GET,195
enumerator,195
4,193
This,193
content,193
m,192
connection,192
example,192
db,191
-,190
$,190
js,190
expected,190
Error,189
step,187
routes,187
mapping,187
are,186
run,185
string,184
SqlParser,184
cookie,184
withQueryResult,183
libs,182
f1,181
For,179
successful,179
A18,179
buffer,179
JsSuccess,178
actual,177
Step,176
User,176
used,176
reads,174
f2,171
JsError,171
a16,171
use,171
route,171
lang,171
using,170
xml,170
beEqualTo,170
To,170
validate,169
FROM,169
try,169
parameter,167
ws,167
return,166
10,166
com,164
mkString,163
args,162
parser,162
server,162
mustExecute,161
fields,161
EOF,160
Configuration,159
bytes,158
token,157
>,157
arr,155
close,155
session,154
Application,154
which,153
next,153
current,152
debug,152
stream,150
?,149
d,149
copy,149
;,148
Throwable,148
Form,148
time,148
all,147
prefix,147
future,146
HTTP,146
query,146
await,145
a17,144
returns,144
Results,143
constraints,142
out,142
Empty,142
El,141
A19,140
dec,139
ValidationError,139
beFalse,139
var,138
contains,138
can,137
Writes,137
Double,137
other,136
success,135
code,135
%s,134
JsObject,134
|>>>,134
field1,134
parameters,133
one,133
foreach,133
Either,132
K,132
timeout,131
Duration,131
context,131
URL,130
filter,130
org,130
scalar,129
Lang,129
!=,129
sql,129
at,128
environment,128
transform,127
index,127
column,127
mode,127
',125
WithApplication,124
utf-8,124
params,123
l,122
field2,122
toSeq,121
client,121
found,120
field3,120
chunk,119
BodyParser,118
withConnection,118
Any,117
a18,117
Date,117
Set,116
isEmpty,116
pattern,116
System,115
row,115
FormError,115
mock,114
ps,113
list,112
f3,112
statement,111
into,111
Await,111
From,111
FakeRequest,110
create,110
writes,109
beNone,109
catch,109
read,109
ssl,108
T1,108
T2,108
JsString,108
m1,108
m2,108
ctx,107
&&,106
yield,106
rh,106
f4,106
o,106
Short,105
any,104
underlying,104
@,104
date,104
Mode,103
database,103
maxLength,103
info,103
Exception,103
first,102
no,102
head,102
A20,101
pec,101
anorm,101
messages,101
field4,101
write,101
tags,101
T3,100
cookies,100
process,99
throwA,99
Specification,98
v1,97
con,96
If,96
right,96
exists,96
Handler,96
line,96
T4,95
long,95
f5,95
promise,94
secret,93
build,93
beTrue,92
orElse,92
simple,92
secure,92
9,92
withServer,92
v2,92
email,92
field5,92
done,91
openid,91
resource,91
getClass,90
Java,90
exception,90
html,90
source,90
getString,90
T5,90
contain,90
a19,90
f6,90
responses,90
Connection,89
RuntimeException,89
WS,89
password,89
foldEC,88
canBuild,88
have,87
withHeaders,87
println,87
load,87
handler,86
prepare,86
field6,86
BigDecimal,86
&>,86
end,86
joda,85
failed,85
key1,85
toShort,85
T6,85
collection,84
m3,84
Create,84
Returns,83
int,83
Assets,83
f7,83
array,83
Cookie,83
WebSocket,83
classloader,82
issuers,82
number,82
clazz,81
ok,81
handle,81
meta,81
getBytes,81
v3,81
field7,81
self,81
queryString,81
T7,80
Constraint,80
constraint,80
key2,80
Writeable,80
its,80
engine,80
min,79
user,79
EssentialAction,79
q,78
DParam,78
requests,77
injector,77
_*,77
max,77
f8,77
gzip,77
getMessage,77
v4,77
split,77
keyType,77
123,76
Test,76
6,76
field8,76
algorithm,76
running,76
fail,76
2009-2014,75
like,75
RowParser,75
JsNumber,75
IllegalArgumentException,75
log,75
FakeApplication,75
T8,75
toByte,75
Default,75
WSRequestHolder,74
after,74
